URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/actigraphy-metric-vs,0.7.0,active,,ActigraphyMetricVS,Actigraphy Metric Value Set,"Actigraphy-derived metrics",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/antiemetic-medication-vs,0.7.0,active,,AntiemeticMedicationVS,Antiemetic Medication Value Set,"Antiemetic medications for spaceflight use",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/antiemetic-protocol-vs,0.7.0,active,,AntiemeticProtocolVS,Antiemetic Protocol Value Set,"Antiemetic administration protocols",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/antioxidant-biomarker-vs,0.7.0,active,,AntioxidantBiomarkerVS,Antioxidant Biomarker Value Set,"Oxidative stress and antioxidant biomarkers",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/artemis-all-devices-vs,0.7.0,active,,ArtemisAllDevicesVS,All Artemis Devices,"Both certified and prototype Artemis devices (the complete Artemis device inventory)",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/artemis-certified-devices-vs,0.7.0,active,,ArtemisCertifiedDevicesVS,Artemis Certified Devices,"Flight-qualified Artemis mission hardware",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/artemis-landing-region-vs,0.7.0,active,,ArtemisLandingRegionVS,Artemis Landing Regions,"Candidate Artemis III south pole landing regions for Location bindings",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/artemis-mission-vs,0.7.0,active,,ArtemisMissionVS,Artemis Missions,"All Artemis program missions I-XXX",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/artemis-prototype-devices-vs,0.7.0,active,,ArtemisPrototypeDevicesVS,Artemis Prototype Devices,"Developmental and test Artemis hardware",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/artemis-radiation-measure-vs,0.7.0,active,,ArtemisRadiationMeasureVS,Artemis Radiation Measures,"Dose measure codes for ArtemisRadiationExposure.code",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/behavioral-health-metrics-vs,0.7.0,active,,BehavioralHealthMetricsVS,Behavioral Health Metrics Value Set,"Key behavioral health state metrics used in aerospace behavioral health monitoring.",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/behavioral-readiness-vs,0.7.0,active,,BehavioralReadinessVS,Behavioral Readiness Assessment,"Value set for behavioral/psychological flight readiness outcomes.",,"SCT"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/bfrt-device-type-vs,0.7.0,active,,BFRTDeviceTypeVS,BFRT Device Type Value Set,"BFRT device types",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/bfrt-outcome-vs,0.7.0,active,,BFRTOutcomeVS,BFRT Outcome Value Set,"BFRT outcome measures",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/bfrt-protocol-vs,0.7.0,active,,BFRTProtocolVS,BFRT Protocol Value Set,"Blood flow restriction training protocol types",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/biomanufacturing-process-vs,0.7.0,active,,BiomanufacturingProcessVS,Biomanufacturing Process Value Set,"Biomanufacturing process types",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/bliss-output-vs,0.7.0,active,,BLiSSOutputVS,BLiSS Output Value Set,"Bioregenerative life support output types",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/bone-density-method-vs,0.7.0,active,,BoneDensityMethodVS,Bone Density Method Value Set,"Methods for BMD measurement",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/bone-density-site-vs,0.7.0,active,,BoneDensitySiteVS,Bone Density Measurement Site Value Set,"Anatomical sites for BMD measurement",,"SCT"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/calorie-deficit-risk-vs,0.7.0,active,,CalorieDeficitRiskVS,Calorie Deficit Risk Levels,"Risk categorization for caloric deficits",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/cardiac-monitoring-vs,0.7.0,active,,CardiacMonitoringVS,Cardiac Monitoring Value Set,"Cardiac monitoring parameters",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/cgm-device-type-vs,0.7.0,active,,CGMDeviceTypeVS,CGM Device Type Value Set,"Types of CGM devices",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/cgm-metrics-vs,0.7.0,active,,CGMMetricsVS,CGM Metrics Value Set,"Standardized CGM metrics",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/circadian-assessment-vs,0.7.0,active,,CircadianAssessmentVS,Circadian Rhythm Assessment Value Set,"Circadian rhythm assessment parameters",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/circadian-phase-vs,0.7.0,active,,CircadianPhaseVS,Circadian Phase Value Set,"Circadian rhythm phases",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/cognitive-performance-indicators-vs,0.7.0,active,,CognitivePerformanceIndicatorsVS,Cognitive Performance Indicators Value Set,"Cognitive and vigilance performance indicators relevant to operational readiness.",,"Internal,LOINC"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/crewed-mars-missions-vs,0.7.0,active,,CrewedMarsMissionsVS,Human Mars Mission Plans,"Proposed and conceptual human mission architectures to Mars",,"Internal"
https://awatson1978.github.io/aerospace-medicine-ig/ValueSet/dcs-risk-vs,0.7.0,active,,DCSRiskVS,DCS Risk Value Set,"DCS risk factors and outcomes",,"Internal"
