URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/uv/aerospace/ValueSet/behavioral-health-metrics-vs,0.4.2,active,,BehavioralHealthMetricsVS,Behavioral Health Metrics Value Set,"Key behavioral health state metrics used in aerospace behavioral health monitoring.",,"Internal"
http://hl7.org/fhir/uv/aerospace/ValueSet/cognitive-performance-indicators-vs,0.4.2,active,,CognitivePerformanceIndicatorsVS,Cognitive Performance Indicators Value Set,"Cognitive and vigilance performance indicators relevant to operational readiness.",,"Internal"
http://hl7.org/fhir/uv/aerospace/ValueSet/isolation-syndrome-factors-vs,0.4.2,active,,IsolationSyndromeFactorsVS,Isolation Syndrome Factors Value Set,"Risk factors related to isolation and confinement that affect behavioral health.",,"Internal"
http://hl7.org/fhir/uv/aerospace/ValueSet/location-capabilities-vs,0.4.2,active,,LocationCapabilitiesVS,Location Capabilities Value Set,"Capabilities and services available at aerospace medicine locations",,"Internal"
http://hl7.org/fhir/uv/aerospace/ValueSet/operational-status-vs,0.4.2,active,,OperationalStatusVS,Operational Status Value Set,"Operational status codes for facilities and vehicles",,"Internal"
http://hl7.org/fhir/uv/aerospace/ValueSet/space-exercise-modality-vs,0.4.2,active,,SpaceExerciseModalityVS,Space Exercise Modality Value Set,"Permitted space exercise modalities, derived from the Space Exercise Modality Code System.",,"Internal"
http://hl7.org/fhir/uv/aerospace/ValueSet/stress-countermeasures-vs,0.4.2,active,,StressCountermeasuresVS,Stress Countermeasures Value Set,"Standardized set of psychological countermeasures used to mitigate stress and support mental health.",,"Internal"
https://mitre.org/fhir/space-health/ValueSet/AircraftFumeExposureValueSet,0.4.2,draft,,AircraftFumeExposureValueSet,Aircraft Fume Exposure,"Health impacts from exposure to aircraft contaminated air and fume events.",,"SCT"
https://mitre.org/fhir/space-health/ValueSet/AstronautBackPain,0.4.2,draft,,AstronautBackPain,Back Pain and Space Travel,"Back pain and associated conditions observed in astronauts and their potential terrestrial applications.",,"SCT"
https://mitre.org/fhir/space-health/ValueSet/GimbalContraindicatedConditions,0.4.2,draft,,GimbalContraindicatedConditions,Gimbal Contraindications,"Contraindicated conditions for riding a multi-axis gimbal",,"SCT"
